마케팅신업종,,,,,,,,표준산업분류(KSIC10),,,
KBMLC,KBMLN,KBMMC,KBMMN,KBMSC,KBMSN,KBMSSC,KBMSSN,BZC_CD,BZC_NM,BZC_CD1,BZC_CD3
F,음식,F16,한식,F160,국/탕/백반류,F16018,죽전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16019,콩나물국밥전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16020,한정식전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F160,국/탕/백반류,F16021,해장국/감자탕,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F161,돼지고기,F16105,막창전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F164,소고기,F16401,곱창/양구이전문점,I56111,한식 일반 음식점업,I56,I56
F,음식,F16,한식,F162,면요리,F16201,국수/칼국수전문점,I56112,한식 면요리 전문점,I56,I56
F,음식,F16,한식,F162,면요리,F16202,냉면전문점,I56112,한식 면요리 전문점,I56,I56
F,음식,F16,한식,F162,면요리,F16203,수제비전문점,I56112,한식 면요리 전문점,I56,I56
F,음식,F16,한식,F162,면요리,F16204,우동전문점,I56112,한식 면요리 전문점,I56,I56
F,음식,F16,한식,F161,돼지고기,F16101,갈매기살전문점,I56113,한식 육류요리 전문점,I56,I56
F,음식,F16,한식,F161,돼지고기,F16102,갈비찜전문점,I56113,한식 육류요리 전문점,I56,I56
